bed,stg,Sbottom,Smid,Stop,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,MDS1,MDS2,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange
29b,40,22,27,32,1,1,1,18,1,0,0,0,0,39,1,13.12211669,39,39,0,0,0.375903892,-0.067595366,0,0,0,0,0,0,0,-0.051293294,0,-0.052631579,0,-0.051293294,0.052631579,0.025641026
30,41,32,54.5,77,1,16,1,0,15,0,1,0,0,39,23,15.88466757,40,39,0.025,0.025,0.381597549,-0.09621664,0,0,0,2.772588722,-0.236388778,-0.171850257,0,0,0,0,0,0,1,0.564102564
31,42,77,81.5,86,16,16,15,4,0,1,0,0,2,37,20,17.49615559,39,39,0.051282051,0,0.390686728,-0.071633336,0.052643733,0,0.064538521,0.064538521,0.064538521,0.064538521,0,0.051293294,0,0,0,0,0.789473684,0.486486486
32,43,86,124,162,16,17,16,0,2,0,0,0,0,37,20,13.81275441,37,37,0,0,0.368877514,-0.090361607,0,0,0,0.060624622,-0.162518929,-0.175764156,0,-0.057158414,0,0,0,0,1,0.540540541
33,44,162,164.5,167,17,17,17,3,0,0,0,0,0,37,19,15.43778434,37,37,0,0,0.390802801,-0.068257936,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.513513514
34,45,167,470,773,17,19,17,0,2,0,1,0,1,36,22,15.19402985,38,37,0.052631579,0.026315789,,,0.027398974,0,0,0.111225635,0,-0.051293294,0,0,0,0,0,0,1,0.555555556
35,46,773,823,873,19,15,15,0,0,1,0,0,1,35,19,13.12211669,36,36,0.027777778,0,,,0.028170877,0,0.236388778,0,0.236388778,0,0.171850257,0,0.157894737,0,0.171850257,0,1,0.514285714
36,47,873,921,969,15,15,15,0,1,1,0,1,2,33,18,12.43147897,36,35,0.055555556,0.027777778,,,0.0588405,0.029852963,0,0,0,0,-0.064538521,-0.064538521,0,0,0,0,1,0.454545455
37,48,969,976,983,15,14,14,0,1,0,0,0,0,34,17,11.74084125,34,34,0,0,,,0,0,0.068992871,0,0.068992871,0,0.068992871,-0.068992871,0.066666667,0,0.068992871,0,1,0.5
38,49,983,999.5,1016,14,14,14,0,0,3,0,1,0,34,16,11.05020353,35,34,0,0.028571429,,,0,0.028987537,0,0,-0.074107972,0,-0.194156014,0,0,0,0,0,1,0.441176471
39,50,1016,1032,1048,14,13,13,1,3,0,0,0,1,34,15,11.15645548,35,35,0.028571429,0,,,0.028987537,0,0.074107972,0,-1.39E-17,0,0.068992871,-0.194156014,0,-0.071428571,0,-0.068992871,0.928571429,0.411764706
40,51,1048,1062,1076,13,14,13,1,0,0,1,0,2,32,21,15.61903768,35,34,0.085714286,0.028571429,,,0.060624622,0,0,0.074107972,0,-1.39E-17,0,0.068992871,0,0,0,0,0.928571429,0.5625
41,52,1076,1125.5,1175,14,14,13,0,1,1,0,0,1,31,17,11.74084125,32,32,0.03125,0,,,0.031748698,0,0.074107972,0.074107972,0.074107972,-1.39E-17,0,0,0,0,0,0,1,0.516129032
42,53,1175,1214.5,1254,14,13,13,0,1,1,0,0,0,31,14,9.668928087,31,31,0,0,,,0,0,0.074107972,0,-1.39E-17,0,0,-0.074107972,0,0,0,0,1,0.451612903
43,54,1254,1281,1308,13,13,13,1,0,0,0,0,0,31,14,10.41269179,31,31,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.928571429,0.451612903
44,55,1308,1342.5,1377,13,13,13,0,0,0,0,0,0,31,14,9.668928087,31,31,0,0,,,0,0,0,0,0,-0.074107972,0,0,0,0,0,0,1,0.451612903
45,56,1377,1395.5,1414,13,13,13,0,0,1,0,0,0,31,14,9.668928087,31,31,0,0,,,0,0,0,0,-0.074107972,0,-0.074107972,0,0,0,0,0,1,0.451612903
46,57,1414,1442.5,1471,13,13,13,1,1,NA,0,0,0,31,13,9.668928087,31,31,0,0,,,0,0,0,0,NA,0,NA,-0.068992871,NA,-0.071428571,NA,-0.068992871,0.928571429,0.419354839
47,58,1471,1486,1501,13,NA,NA,NA,NA,NA,23,NA,31,NA,54,NA,54,31,1,0.425925926,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
