proxy,value,n_height,type
OCe,-0.23,-2981.5,PMM
OCe,0.03,-2691.5,PMM
OCe,-0.164,-2503.5,PMM
OCe,0.02,-2252,PMM
OCe,-0.3,-2015.5,PMM
OCe,-0.26,-1739,PMM
OCe,-0.24,-1334,PMM
OCe,0.09,-1124.5,PMM
OCe,-0.3,-1100,PMM
OCe,-0.19,-880,PMM
OCe,-0.28,-620,PMM
OCe,-0.08,-501.5,PMM
OCe,-0.08,-339.5,PMM
OCe,-0.106,-203.5,PMM
OCe,-0.09,-138.5,PMM
OCe,-0.188,-101,PMM
OCe,-0.142,-90.5,PMM
OCe,-0.14,-76.5,PMM
OCe,-0.054,-48.5,PMM
OCe,-0.114,-24,PMM
OCe,-0.13,-16.5,PMM
OCe,-0.1,-11,PMM
OCe,-0.15,-6,PMM
OCe,-0.102,-2,PMM
OCe,-0.13,2,PMM
OCe,-0.14,6,PMM
OCe,-0.19,10,PMM
OCe,-0.122,17,PMM
OCe,-0.2,27,PMM
OCe,-0.16,54.5,PMM
OCe,-0.01,81.5,PMM
OCe,-0.01,124,PMM
OCe,-0.18,164.5,PMM
OCe,-0.01,470,PMM
OCe,0.03,823,PMM
OCe,0.04,921,PMM
OCe,0,976,PMM
XCa,-0.6,-339.5,PMM
XCa,-0.62,-203.5,PMM
XCa,-0.736666667,-138.5,PMM
XCa,-0.74,-101,PMM
XCa,-0.76,-90.5,PMM
XCa,-0.8,-76.5,PMM
XCa,-0.733333333,-48.5,PMM
XCa,-0.86,-24,PMM
XCa,-0.72,-16.5,PMM
XCa,-0.75,-11,PMM
XCa,-0.86,-6,PMM
XCa,-0.812666667,-2,PMM
XCa,-0.95,2,PMM
XCa,-0.716,6,PMM
XCa,-0.83,10,PMM
XCa,-0.79,17,PMM
XCa,-0.69,27,PMM
XCa,-0.75,54.5,PMM
XCcarb,1.466,-4740,PMM
XCcarb,3.646,-4375,PMM
XCcarb,3.5485,-4320,PMM
XCcarb,3.844,-4265,PMM
XCcarb,2.086,-4205,PMM
XCcarb,3.484857143,-4075,PMM
XCcarb,3.357,-3900,PMM
XCcarb,3.28,-3767.5,PMM
XCcarb,3.189733333,-3721.5,PMM
XCcarb,2.995,-3634.5,PMM
XCcarb,3.153333333,-3409.5,PMM
XCcarb,3.34,-3221.5,PMM
XCcarb,3.333333333,-2981.5,PMM
XCcarb,2.835,-2691.5,PMM
XCcarb,2.775,-2503.5,PMM
XCcarb,2.708333333,-2252,PMM
XCcarb,3.005,-2015.5,PMM
XCcarb,3.985384615,-1739,PMM
XCcarb,3.9275,-1334,PMM
XCcarb,2.826297778,-1124.5,PMM
XCcarb,3.2,-1100,PMM
XCcarb,3.3045,-880,PMM
XCcarb,3.514888889,-620,PMM
XCcarb,3.5835,-501.5,PMM
XCcarb,3.730409091,-339.5,PMM
XCcarb,3.94675,-203.5,PMM
XCcarb,3.625666667,-138.5,PMM
XCcarb,3.3941,-101,PMM
XCcarb,3.395,-90.5,PMM
XCcarb,3.146,-76.5,PMM
XCcarb,2.6086,-48.5,PMM
XCcarb,1.414,-24,PMM
XCcarb,1.5616,-16.5,PMM
XCcarb,-0.590545455,-11,PMM
XCcarb,-0.317428571,-6,PMM
XCcarb,0.169181818,-2,PMM
XCcarb,0.373625,2,PMM
XCcarb,0.549444444,6,PMM
XCcarb,0.6745,10,PMM
XCcarb,0.6351,17,PMM
XCcarb,0.643,27,PMM
XCcarb,0.485,54.5,PMM
XCcarb,1.7236,81.5,PMM
XCcarb,0.206,124,PMM
XCcarb,1.859880555,164.5,PMM
XCcarb,-0.988285714,470,PMM
XCcarb,-0.964,823,PMM
XCcarb,-0.536,921,PMM
XCcarb,0.792,976,PMM
XCcarb,0.8823,999.5,PMM
XCcarb,0.729134286,1032,PMM
XCcarb,0.666,1062,PMM
XCcarb,1.014,1125.5,PMM
XCcarb,1.824,1214.5,PMM
XCcarb,0.659379221,1281,PMM
XCcarb,2.303,1342.5,PMM
XCcarb,2.468,1395.5,PMM
XCcarb,2.419,1442.5,PMM
XCcarb,0.837005195,1486,PMM
XCcarb,0.729005195,1505.5,PMM
XCcarb,2.52,1533,PMM
XCd,0.47,-339.5,PMM
XCd,0.433333333,-203.5,PMM
XCd,0.49,-138.5,PMM
XCd,0.5,-101,PMM
XCd,0.445,-90.5,PMM
XCd,0.31,-76.5,PMM
XCd,0.275,-48.5,PMM
XCd,0.266666667,-24,PMM
XCd,0.47,-16.5,PMM
XCd,-0.03,-11,PMM
XCd,0.06,-6,PMM
XCd,0,-2,PMM
XCd,0.08,2,PMM
XCd,-0.26,6,PMM
XCd,-0.23,10,PMM
XCd,-0.05,17,PMM
XCd,-0.29,27,PMM
XCd,0.016666667,54.5,PMM
XCd,-0.08,81.5,PMM
XCd,-0.195,124,PMM
XCorg,-26.42,-4740,PMM
XCorg,-25.85,-4375,PMM
XCorg,-26.67353333,-4320,PMM
XCorg,-26.491,-4265,PMM
XCorg,-27.87,-4205,PMM
XCorg,-26.4906,-4075,PMM
XCorg,-26.02,-3900,PMM
XCorg,-25.98,-3767.5,PMM
XCorg,-27.2542,-3721.5,PMM
XCorg,-27.1946,-3634.5,PMM
XCorg,-27.16,-3409.5,PMM
XCorg,-27.38,-3221.5,PMM
XCorg,-26.595,-2981.5,PMM
XCorg,-26.94,-2691.5,PMM
XCorg,-26.22,-2503.5,PMM
XCorg,-27.755,-2252,PMM
XCorg,-28.359,-2015.5,PMM
XCorg,-26.555,-1739,PMM
XCorg,-28.67,-1334,PMM
XCorg,-28.49843333,-1124.5,PMM
XCorg,-28.6712,-1100,PMM
XCorg,-29.06,-880,PMM
XCorg,-29.08,-620,PMM
XCorg,-28.11,-501.5,PMM
XCorg,-27.51,-339.5,PMM
XCorg,-28,-203.5,PMM
XCorg,-28.38,-138.5,PMM
XCorg,-29.8,-101,PMM
XCorg,-28.42,-90.5,PMM
XCorg,-29.235,-76.5,PMM
XCorg,-28.69666667,-48.5,PMM
XCorg,-28.5375,-24,PMM
XCorg,-28.285,-16.5,PMM
XCorg,-29.948,-11,PMM
XCorg,-30.544,-6,PMM
XCorg,-26.00666667,-2,PMM
XCorg,-26.04,2,PMM
XCorg,-25.815,6,PMM
XCorg,-25.2,10,PMM
XCorg,-26.9,17,PMM
XCorg,-25.545,27,PMM
XCorg,-28.66166667,54.5,PMM
XCorg,-25.54,81.5,PMM
XCorg,-27.458,124,PMM
XCorg,-27.08266667,164.5,PMM
XCorg,-26.2,470,PMM
XCorg,-26.02733333,823,PMM
XCorg,-25,921,PMM
XCorg,-26.654,976,PMM
XCorg,-26.88233333,999.5,PMM
XCorg,-26.75133333,1032,PMM
XCorg,-26.365,1062,PMM
XCorg,-26.662,1125.5,PMM
XCorg,-25.483,1214.5,PMM
XCorg,-27.16733333,1281,PMM
XCorg,-24.4,1342.5,PMM
XCorg,-26.58366667,1395.5,PMM
XCorg,-26.663,1442.5,PMM
XCorg,-27.65733333,1486,PMM
XCorg,-26.9901,1505.5,PMM
XCorg,-26.342,1533,PMM
XFeHr,0.81,-501.5,PMM
XFeHr,0.81,-339.5,PMM
XFeHr,0.825,-203.5,PMM
XFeHr,0.72,-138.5,PMM
XFeHr,0.78,-101,PMM
XFeHr,0.60175,-90.5,PMM
XFeHr,0.723,-76.5,PMM
XFeHr,0.775,-48.5,PMM
XFeHr,0.6825,-24,PMM
XFeHr,0.66,-16.5,PMM
XFeHr,0.61,-11,PMM
XFeHr,0.63,-6,PMM
XFeHr,0.74,-2,PMM
XFeHr,0.76,2,PMM
XFeHr,0.78,6,PMM
XFeHr,0.69,10,PMM
XFeHr,0.4,17,PMM
XFeHr,0.56,27,PMM
XFeHr,0.612,54.5,PMM
XFeHr,0.5925,81.5,PMM
XFeHr,0.50375,124,PMM
XFeHr,0.46,164.5,PMM
XFeHr,0.467368421,470,PMM
XFeHr,0.41,823,PMM
XFePy,0.64,-501.5,PMM
XFePy,0.5,-339.5,PMM
XFePy,0.575,-203.5,PMM
XFePy,0.78,-138.5,PMM
XFePy,0.71,-101,PMM
XFePy,0.677,-90.5,PMM
XFePy,0.606333333,-76.5,PMM
XFePy,0.5775,-48.5,PMM
XFePy,0.673333333,-24,PMM
XFePy,0.626666667,-16.5,PMM
XFePy,0.765,-11,PMM
XFePy,0.76,-6,PMM
XFePy,0.7,-2,PMM
XFePy,0.63,2,PMM
XFePy,0.66,6,PMM
XFePy,0.745,10,PMM
XFePy,0.69,17,PMM
XFePy,0.85,27,PMM
XFePy,0.624,54.5,PMM
XFePy,0.5025,81.5,PMM
XFePy,0.5425,124,PMM
XFePy,0.54,164.5,PMM
XFePy,0.46,470,PMM
XFePy,0.24,823,PMM
XLi,9.88,-339.5,PMM
XLi,7.7,-203.5,PMM
XLi,7.5,-138.5,PMM
XLi,5.85,-101,PMM
XLi,12.4,-90.5,PMM
XLi,6.482666667,-76.5,PMM
XLi,8.4,-48.5,PMM
XLi,9.65,-24,PMM
XLi,0.3,-16.5,PMM
XLi,0.533333333,-11,PMM
XLi,6.688095238,-6,PMM
XLi,7.372666667,-2,PMM
XLi,9.3,2,PMM
XLi,7.75,6,PMM
XLi,6.453846154,10,PMM
XLi,6.8,17,PMM
XLi,4.516666667,27,PMM
XLi,3.7,54.5,PMM
XLi,4.4,81.5,PMM
XLi,1.557142857,124,PMM
XLi,4.659846154,164.5,PMM
XLi,1.269230769,470,PMM
XLi,1.25,823,PMM
XN,2.725,-4740,PMM
XN,2.165,-4375,PMM
XN,2.44,-4320,PMM
XN,2.484,-4265,PMM
XN,2.232666667,-4205,PMM
XN,2.564,-4075,PMM
XN,2.635,-3900,PMM
XN,1.587333333,-3767.5,PMM
XN,2.287,-3721.5,PMM
XN,2.413,-3634.5,PMM
XN,3.49,-3409.5,PMM
XN,2.2,-3221.5,PMM
XN,0.8,-2981.5,PMM
XN,2.254,-2691.5,PMM
XN,1.57,-2503.5,PMM
XN,3.5,-2252,PMM
XN,2.008,-2015.5,PMM
XN,0.98,-1739,PMM
XN,1.58,-1334,PMM
XN,2.569,-1124.5,PMM
XN,1.789,-1100,PMM
XN,1.227,-880,PMM
XN,1.301,-620,PMM
XN,1.61,-501.5,PMM
